;Ürün_adý;Marka;orjinal_fiyat;Ýndirim_oraný;indirimli_fiyat;sepette_indirim_oraný;sepette_indirimli_fiyat;Puan;Deðerlendirme;Link
296;"Apple iPad Mini 256GB 7.9"" Wi-Fi + Cellular Retina Tablet -Uzay Grisi MUXC2TU/A";Apple;6.399,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;5,0;2 ;https://www.hepsiburada.com//apple-ipad-mini-256gb-7-9-wi-fi-cellular-retina-tablet-uzay-grisi-muxc2tu-a-p-HBV00000JVOSB
297;"Apple iPad Pro 32GB 9.7"" WiFi+4G Altýn Retina Ekranlý Tablet MLPY2TU/A";Apple;5.499,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;5,0;1 ;https://www.hepsiburada.com//apple-ipad-pro-32gb-9-7-wifi-4g-altin-retina-ekranli-tablet-mlpy2tu-a-p-BD602172-ALTIN
298;"Inca Astro 16GB 10.1"" IPS Beyaz Tablet + 4 Adet Aksesuar Hediye";Inca;0,00 TL;%0;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,5;56 ;https://www.hepsiburada.com//inca-astro-16gb-10-1-ips-beyaz-tablet-4-adet-aksesuar-hediye-p-BD302721
299;"Samsung Galaxy Tab E T562 8GB 9.6"" 3G Tablet";Samsung;2.199,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,0;26 ;https://www.hepsiburada.com//samsung-galaxy-tab-e-t562-8gb-9-6-3g-tablet-p-BD602127-S
300;"Apple iPad Mini 16GB 7.9"" Wi-fi + 4G Siyah Tablet MD540TU/A";Apple;1.369,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,0;3 ;https://www.hepsiburada.com//apple-ipad-mini-16gb-7-9-wi-fi-4g-siyah-tablet-md540tu-a-p-BD40708
301;"Samsung Galaxy Tab S2 T813 32Gb 9.7"" Tablet";Samsung;1.799,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,5;44 ;https://www.hepsiburada.com//samsung-galaxy-tab-s2-t813-32gb-9-7-tablet-p-BD601745-B
302;"Asus Fonepad ME372CG-1A072A 8GB 7"" 3G IPS Tablet";Asus;0,00 TL;%0;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,8;4 ;https://www.hepsiburada.com//asus-fonepad-me372cg-1a072a-8gb-7-3g-ips-tablet-p-BD600798
303;"Samsung Galaxy Tab 4 T532 16GB 10.1"" Beyaz 3G Tablet";Samsung;0,00 TL;%0;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,0;4 ;https://www.hepsiburada.com//samsung-galaxy-tab-4-t532-16gb-10-1-beyaz-3g-tablet-p-BD601368B-B16
304;"Inca Astro 32GB 10.1"" IPS Beyaz Tablet + 4 Adet Aksesuar Hediye";Inca;0,00 TL;%0;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,7;29 ;https://www.hepsiburada.com//inca-astro-32gb-10-1-ips-beyaz-tablet-4-adet-aksesuar-hediye-p-BD302982
305;"Ultrapad UP162A-4G Cortex A7 16GB 10.1"" 4G Tablet Siyah";Ultrapad;1.020,01 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;3,8;12 ;https://www.hepsiburada.com//ultrapad-up162a-4g-cortex-a7-16gb-10-1-4g-tablet-siyah-p-HBV00000ILVQF
306;"Lenovo Tab 8 16GB 8"" IPS Tablet ZA3W0015TR";Lenovo;779,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,4;17 ;https://www.hepsiburada.com//lenovo-tab-8-16gb-8-ips-tablet-za3w0015tr-p-HBV00000D1Z9E
307;"Apple iPad 6.Nesil 128GB 9.7"" Wi-Fi + Cellular 4G IPS Tablet - Uzay Grisi MR722TU/A";Apple;5.599,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,9;17 ;https://www.hepsiburada.com//apple-ipad-6-nesil-128gb-9-7-wi-fi-cellular-4g-ips-tablet-uzay-grisi-mr722tu-a-p-HBV00000CEIP0
308;"Concord C-777 16GB 7"" IPS Tablet Siyah";Concord;400,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;3,2;17 ;https://www.hepsiburada.com//concord-c-777-16gb-7-ips-tablet-siyah-p-HBV00000M713D
309;"C5 Mobile Noa Tab 16GB 10.1"" IPS Tablet Gri";C5 Electronics;499,99 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;3,2;10 ;https://www.hepsiburada.com//c5-mobile-noa-tab-16gb-10-1-ips-tablet-gri-p-HBV00000NGPKN
310;"Apple iPad Pro 4.Nesil Wi-Fi 1TB 12.9"" Tablet - Uzay Grisi MXAX2TU/A";Apple;14.249,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;5,0;4 ;https://www.hepsiburada.com//apple-ipad-pro-4-nesil-wi-fi-1tb-12-9-tablet-uzay-grisi-mxax2tu-a-p-HBV00000SS5DV
311;"Huawei MediaPad T3 16GB 10"" IPS Tablet Gri (Ýthalatçý Garantili)";Huawei;1.229,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;5,0;1 ;https://www.hepsiburada.com//huawei-mediapad-t3-16gb-10-ips-tablet-gri-ithalatci-garantili-p-HBV00000VSEE9
312;"Lenovo TAB 7 16GB 7"" IPS Tablet Siyah ZA360086TR";Lenovo;999,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,6;12 ;https://www.hepsiburada.com//lenovo-tab-7-16gb-7-ips-tablet-siyah-za360086tr-p-HBV00000SA9QT
313;"Apple iPad Air 3 256GB 10.5"" Wi-Fi+ Cellular Retina  Tablet - Space Grey MV0N2TU/A";Apple;6.599,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;5,0;1 ;https://www.hepsiburada.com//apple-ipad-air-3-256gb-10-5-wi-fi-cellular-retina-tablet-space-grey-mv0n2tu-a-p-HBV00000JVORH
314;"Everest EverPad SC-740 Venüs7 16GB 7"" Tablet Kýrmýzý";Everest;599,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;2,6;105 ;https://www.hepsiburada.com//everest-everpad-sc-740-venus7-16gb-7-tablet-kirmizi-p-HBV00000PZZHB
315;"Apple iPad Air 3 64GB 10.5"" Wi-Fi Retina Tablet - Uzay Grisi MUUJ2TU/A";Apple;4.999,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,9;105 ;https://www.hepsiburada.com//apple-ipad-air-3-64gb-10-5-wi-fi-retina-tablet-uzay-grisi-muuj2tu-a-p-HBV00000JVOR0
316;"Hometech Alfa10 RX 2GB RAM 16GB HAFIZA 10.1"" IPS Tablet Siyah";Hometech;1.599,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;3,2;55 ;https://www.hepsiburada.com//hometech-alfa10-rx-2gb-ram-16gb-hafiza-10-1-ips-tablet-siyah-p-HBV00000M71BH
317;"Apple iPad 6.Nesil 128GB 9.7"" Wi-Fi IPS Tablet - Gri MR7J2TU/A";Apple;3.399,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,9;133 ;https://www.hepsiburada.com//apple-ipad-6-nesil-128gb-9-7-wi-fi-ips-tablet-gri-mr7j2tu-a-p-HBV00000BKU27
318;"Apple iPad Mini 4 128GB 7.9"" Retina Tablet - Gümüþ MK9P2TU/A";Apple;3.299,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,9;8 ;https://www.hepsiburada.com//apple-ipad-mini-4-128gb-7-9-retina-tablet-gumus-mk9p2tu-a-p-HBV000002F607
319;"Samsung Galaxy Tab S6 LTE SM-T867 128GB 10.6"" Tablet 2019 (Duman Siyahý) SM-T867NZAATUR";Samsung;6.299,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,6;15 ;https://www.hepsiburada.com//samsung-galaxy-tab-s6-lte-sm-t867-128gb-10-6-tablet-2019-duman-siyahi-sm-t867nzaatur-p-HBV00000N21Z9
320;"Lenovo Tab M10 64GB 10.1"" 4GB Tablet ZA480197TR";Lenovo;2.999,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,8;53 ;https://www.hepsiburada.com//lenovo-tab-m10-64gb-10-1-4gb-tablet-za480197tr-p-HBV00000TIAAL
321;"Concord C708 8Gb 7"" 3G Phablet (Sim Kart Takýlabilen Telefon Görüþme Özellikli Tablet)";Concord;499,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;3,5;10 ;https://www.hepsiburada.com//concord-c708-8gb-7-3g-phablet-sim-kart-takilabilen-telefon-gorusme-ozellikli-tablet-p-BDIN17081-BY
322;"Concord C-777 16GB 7"" Tablet Mavi";Concord;450,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;3,6;12 ;https://www.hepsiburada.com//concord-c-777-16gb-7-tablet-mavi-p-HBV00000QTN5Y
323;Samsung Galaxy T517 2gb 32GB 10.1 2019 Tablet;Samsung;2.399,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,6;48 ;https://www.hepsiburada.com//samsung-galaxy-t517-2gb-32gb-10-1-2019-tablet-p-HBV00000NI19W
324;Jedi Pro 7” 16GB IPS Tablet Beyaz;Jedi;0,00 TL;%0;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,5;2 ;https://www.hepsiburada.com//jedi-pro-7-16gb-ips-tablet-beyaz-p-HBV00000VMN24
325;Casper L10 16 GB 10'' HD IPS 4.5G Ýkisi Bir Arada Tablet Siyah;Casper;1.119,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;3,7;72 ;https://www.hepsiburada.com//casper-l10-16-gb-10-hd-ips-4-5g-ikisi-bir-arada-tablet-siyah-p-HBV00000AKMHQ
326;"Lenovo Tab 4 10 16GB 2GB 10.1"" IPS Tablet - Beyaz ZA2J0002TR";Lenovo;1.449,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,8;54 ;https://www.hepsiburada.com//lenovo-tab-4-10-16gb-2gb-10-1-ips-tablet-beyaz-za2j0002tr-p-HBV000007R8W4
327;"Casper S10 16GB 10.1"" IPS Tablet";Casper;1.599,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,4;242 ;https://www.hepsiburada.com//casper-s10-16gb-10-1-ips-tablet-p-HBV000003FTDR
328;Concord C-779 2GB Ram 16GB Hafýza 5MP Kamera Tablet Pc;Concord;559,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;3,3;7 ;https://www.hepsiburada.com//concord-c-779-2gb-ram-16gb-hafiza-5mp-kamera-tablet-pc-p-HBV00000R3QWW
329;Concord C-779 2GB Ram 16GB Hafýza 5MP Kamera Tablet Pc;Concord;559,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;3,6;16 ;https://www.hepsiburada.com//concord-c-779-2gb-ram-16gb-hafiza-5mp-kamera-tablet-pc-p-HBV00000R3QWU
330;"Lenovo Tab 10 32GB 10.1"" Tablet ZA4F0006TR";Lenovo;0,00 TL;%0;0,00 TL (0,00 TL/adet);% 0;0,00 TL;None;;https://www.hepsiburada.com//lenovo-tab-10-32gb-10-1-tablet-za4f0006tr-p-HBV00000P84ZS
331;"Alcatel 1T 8GB 7"" IPS Wi-Fi Tablet Siyah";Alcatel;549,99 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;3,9;11 ;https://www.hepsiburada.com//alcatel-1t-8gb-7-ips-wi-fi-tablet-siyah-p-HBV00000NNP9V
332;"Huawei MediaPad T3 16GB 10"" IPS Tablet Gri";Huawei;1.229,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,3;103 ;https://www.hepsiburada.com//huawei-mediapad-t3-16gb-10-ips-tablet-gri-p-HBV00000I9YVZ
333;"Apple iPad 6.Nesil 128GB 9.7"" Wi-Fi + Cellular 4G IPS Tablet - Uzay Grisi MR722TU/A";Apple;5.599,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,9;17 ;https://www.hepsiburada.com//apple-ipad-6-nesil-128gb-9-7-wi-fi-cellular-4g-ips-tablet-uzay-grisi-mr722tu-a-p-HBV00000CEIP0
334;"Concord C-777 16GB 7"" IPS Tablet Siyah";Concord;400,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;3,2;17 ;https://www.hepsiburada.com//concord-c-777-16gb-7-ips-tablet-siyah-p-HBV00000M713D
335;"Huawei MediaPad T3 16GB 10"" IPS Tablet Gri (Ýthalatçý Garantili)";Huawei;1.229,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;5,0;1 ;https://www.hepsiburada.com//huawei-mediapad-t3-16gb-10-ips-tablet-gri-ithalatci-garantili-p-HBV00000VSEE9
336;"Samsung Galaxy Tab A T587 16GB 10.1"" FHD 4G Tablet";Samsung;3.999,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,6;16 ;https://www.hepsiburada.com//samsung-galaxy-tab-a-t587-16gb-10-1-fhd-4g-tablet-p-HBV0000025QF2
337;"Hometech Alfa 32GB 8"" Tablet - Beyaz";Hometech;0,00 TL;%0;0,00 TL (0,00 TL/adet);% 0;0,00 TL;3,8;71 ;https://www.hepsiburada.com//hometech-alfa-32gb-8-tablet-beyaz-p-HBV00000RUPBX
338;"Microsoft Surface 3 32GB 10.8"" Tablet PC (7G7-00003)";Microsoft;4.199,00 TL;%62;1.599,84 TL;% 0;1.599,84 TL;5,0;1 ;https://www.hepsiburada.com//microsoft-surface-3-32gb-10-8-tablet-pc-7g7-00003-p-HBV00000V9LEM
339;"Apple iPad Pro Wi-Fi 64GB 11"" Tablet - Gümüþ MTXP2TU/A";Apple;8.499,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,8;50 ;https://www.hepsiburada.com//apple-ipad-pro-wi-fi-64gb-11-tablet-gumus-mtxp2tu-a-p-HBV00000FH2R9
340;Concord C-779 2GB Ram 16GB Hafýza 5MP Kamera Tablet Pc;Concord;559,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;3,3;7 ;https://www.hepsiburada.com//concord-c-779-2gb-ram-16gb-hafiza-5mp-kamera-tablet-pc-p-HBV00000R3QWW
341;Casper L10 16 GB 10'' HD IPS 4.5G Ýkisi Bir Arada Tablet Siyah;Casper;1.119,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;3,7;72 ;https://www.hepsiburada.com//casper-l10-16-gb-10-hd-ips-4-5g-ikisi-bir-arada-tablet-siyah-p-HBV00000AKMHQ
342;Concord C-779 2GB Ram 16GB Hafýza 5MP Kamera Tablet Pc;Concord;559,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;3,6;16 ;https://www.hepsiburada.com//concord-c-779-2gb-ram-16gb-hafiza-5mp-kamera-tablet-pc-p-HBV00000R3QWU
343;"Casper S10 16GB 10.1"" IPS Tablet";Casper;1.599,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,4;242 ;https://www.hepsiburada.com//casper-s10-16gb-10-1-ips-tablet-p-HBV000003FTDR
344;Samsung Galaxy T517 2gb 32GB 10.1 2019 Tablet;Samsung;2.399,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,6;48 ;https://www.hepsiburada.com//samsung-galaxy-t517-2gb-32gb-10-1-2019-tablet-p-HBV00000NI19W
345;"Lenovo Tab 4 10 16GB 2GB 10.1"" IPS Tablet - Beyaz ZA2J0002TR";Lenovo;1.449,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,8;54 ;https://www.hepsiburada.com//lenovo-tab-4-10-16gb-2gb-10-1-ips-tablet-beyaz-za2j0002tr-p-HBV000007R8W4
346;Jedi Pro 7” 16GB IPS Tablet Beyaz;Jedi;0,00 TL;%0;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,5;2 ;https://www.hepsiburada.com//jedi-pro-7-16gb-ips-tablet-beyaz-p-HBV00000VMN24
347;"Vestel V Tab 8010 8GB 8"" IPS Tablet";Vestel;299,25 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;2,0;4 ;https://www.hepsiburada.com//vestel-v-tab-8010-8gb-8-ips-tablet-p-HBV0000026RKO
348;"iPad 7. Nesil 10.2"" 128 GB Wifi Tablet Tablet  MW782TU/A";Apple;3.799,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,9;123 ;https://www.hepsiburada.com//ipad-7-nesil-10-2-128-gb-wifi-tablet-tablet-mw782tu-a-p-HBV00000NWET3
349;"Samsung Galaxy Tab A SM-T590 32GB 10.5"" Tablet - Siyah";Samsung;2.199,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,8;49 ;https://www.hepsiburada.com//samsung-galaxy-tab-a-sm-t590-32gb-10-5-tablet-siyah-p-HBV00000FKBK6
350;"Apple iPad Air 3 256GB 10.5"" Wi-Fi+ Cellular Retina  Tablet - Silver MV0P2TU/A";Apple;6.599,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;None;;https://www.hepsiburada.com//apple-ipad-air-3-256gb-10-5-wi-fi-cellular-retina-tablet-silver-mv0p2tu-a-p-HBV00000JVORJ
351;"Apple iPad Pro Wi-Fi 1TB 11"" Tablet - Gümüþ MTXW2TU/A";Apple;10.299,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;5,0;3 ;https://www.hepsiburada.com//apple-ipad-pro-wi-fi-1tb-11-tablet-gumus-mtxw2tu-a-p-HBV00000FH2RI
352;"Samsung Galaxy Tab A SM-T597N 10.5"" 4G LTE Tablet Siyah";Samsung;0,00 TL;%0;0,00 TL (0,00 TL/adet);% 0;0,00 TL;None;;https://www.hepsiburada.com//samsung-galaxy-tab-a-sm-t597n-10-5-4g-lte-tablet-siyah-p-HBV00000PP2IU
353;"Samsung Galaxy Tab A SM-T597 32GB 10.5"" 4G Tablet - Siyah";Samsung;3.699,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,8;11 ;https://www.hepsiburada.com//samsung-galaxy-tab-a-sm-t597-32gb-10-5-4g-tablet-siyah-p-HBV00000FKBK9
354;"Vorcom S9 Elegance 16 GB 9"" Tablet";Vorcom;0,00 TL;%0;0,00 TL (0,00 TL/adet);% 0;0,00 TL;None;;https://www.hepsiburada.com//vorcom-s9-elegance-16-gb-9-tablet-p-HBV00000Y3833
355;"Apple iPad Pro Wi-Fi 512GB 11"" Tablet - Uzay Grisi MTXT2TU/A";Apple;8.499,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;5,0;2 ;https://www.hepsiburada.com//apple-ipad-pro-wi-fi-512gb-11-tablet-uzay-grisi-mtxt2tu-a-p-HBV00000FH2RE
356;"Concord C-779 Plus M19 7"" HD 16 Gb 5Mp Kamera";Concord;499,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;3,3;4 ;https://www.hepsiburada.com//concord-c-779-plus-m19-7-hd-16-gb-5mp-kamera-p-HBV00000N3DR5
357;"Apple iPad Air 3 256GB 10.5"" Wi-Fi Retina Tablet - Uzay Grisi MUUQ2TU/A";Apple;6.599,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;5,0;6 ;https://www.hepsiburada.com//apple-ipad-air-3-256gb-10-5-wi-fi-retina-tablet-uzay-grisi-muuq2tu-a-p-HBV00000JVOR7
358;"Lenovo Tab D330-10IGM 4GB 10.1"" IPS Tablet Siyah 81H300LDTX";Lenovo;4.199,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,8;10 ;https://www.hepsiburada.com//lenovo-tab-d330-10igm-4gb-10-1-ips-tablet-siyah-81h300ldtx-p-HBV00000UNTB1
359;"Hegitech Pro 7s 7"" 32GB IPS Tablet";Hegitech;1.049,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;2,3;3 ;https://www.hepsiburada.com//hegitech-pro-7s-7-32gb-ips-tablet-p-HBV00000X5ZYR
360;"Apple iPad Pro Wi-Fi Cellular 64GB 11"" Tablet - Gümüþ MU0U2TU/A";Apple;7.369,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,8;5 ;https://www.hepsiburada.com//apple-ipad-pro-wi-fi-cellular-64gb-11-tablet-gumus-mu0u2tu-a-p-HBV00000FH2RL
361;"Lenovo Tab D330-10IGM 4GB 10.1"" IPS Tablet Siyah 81H300LDTX";Lenovo;4.199,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,8;10 ;https://www.hepsiburada.com//lenovo-tab-d330-10igm-4gb-10-1-ips-tablet-siyah-81h300ldtx-p-HBV00000UNTB1
362;"Hegitech Pro 7s 7"" 32GB IPS Tablet";Hegitech;1.049,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;2,3;3 ;https://www.hepsiburada.com//hegitech-pro-7s-7-32gb-ips-tablet-p-HBV00000X5ZYR
363;"Samsung Galaxy Tab A SM-T590 32GB 10.5"" Tablet - Siyah";Samsung;2.199,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,8;49 ;https://www.hepsiburada.com//samsung-galaxy-tab-a-sm-t590-32gb-10-5-tablet-siyah-p-HBV00000FKBK6
364;"Apple iPad Air 3 256GB 10.5"" Wi-Fi Retina Tablet - Uzay Grisi MUUQ2TU/A";Apple;6.599,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;5,0;6 ;https://www.hepsiburada.com//apple-ipad-air-3-256gb-10-5-wi-fi-retina-tablet-uzay-grisi-muuq2tu-a-p-HBV00000JVOR7
365;"Concord C-779 Plus M19 7"" HD 16 Gb 5Mp Kamera";Concord;499,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;3,3;4 ;https://www.hepsiburada.com//concord-c-779-plus-m19-7-hd-16-gb-5mp-kamera-p-HBV00000N3DR5
366;"Fluo Live 4G 8GB 8"" IPS 4.5G Tablet";Fluo;499,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;2,3;3 ;https://www.hepsiburada.com//fluo-live-4g-8gb-8-ips-4-5g-tablet-p-HBV00000H9SMB
367;"Everest Everpad DC-1101 32GB 10.1"" Klavyeli Tablet Siyah";Everest;1.200,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;3,0;11 ;https://www.hepsiburada.com//everest-everpad-dc-1101-32gb-10-1-klavyeli-tablet-siyah-p-HBV00000F2QB9
