;Ürün_adý;Marka;orjinal_fiyat;Ýndirim_oraný;indirimli_fiyat;sepette_indirim_oraný;sepette_indirimli_fiyat;Puan;Deðerlendirme;Link
73;"Vorcom 6 GB 128 GB 10"" Ultimate Tablet";Vorcom;1.614,84 TL;%0;1.614,84 TL;% 0;1.614,84 TL;4,8;4 ;https://www.hepsiburada.com//vorcom-6-gb-128-gb-10-ultimate-tablet-p-HBCV000005LUYX
74;"Hometech Alfa 7MRC 32GB 7"" Tablet Mavi";Hometech;509,95 TL;%0;509,95 TL;% 0;509,95 TL;3,1;15 ;https://www.hepsiburada.com//hometech-alfa-7mrc-32gb-7-tablet-mavi-p-HBV000013C3OW
75;"Apple iPad 8. Nesil 128 GB 10.2"" WiFi Cellular Tablet - MYML2TU/A";Apple;5.899,00 TL;%7;5.498,45 TL;% 0;5.498,45 TL;4,9;41 ;https://www.hepsiburada.com//apple-ipad-8-nesil-128-gb-10-2-wifi-cellular-tablet-myml2tu-a-p-HBV00000XAMIJ
76;Apple iPad Pro 3. Nesil Wi-Fi Cellular 128 GB Tablet - Uzay Grisi MHW53TU/A;Apple;10.199,00 TL;%5;9.699,90 TL;% 0;9.699,90 TL;5,0;2 ;https://www.hepsiburada.com//apple-ipad-pro-3-nesil-wi-fi-cellular-128-gb-tablet-uzay-grisi-mhw53tu-a-p-HBCV000005LA5P
77;"Lenovo Tab M10 Plus 64GB 10.3"" Tablet ZA5V0230TR";Lenovo;1.999,00 TL;%1;1.969,79 TL;% 0;1.969,79 TL;4,8;13 ;https://www.hepsiburada.com//lenovo-tab-m10-plus-64gb-10-3-tablet-za5v0230tr-p-HBCV000001KJ7N
78;"Casper S20 32GB 10.1"" FHD Tablet Gri";Casper;1.499,00 TL;%13;1.309,87 TL;% 0;1.309,87 TL;4,2;512 ;https://www.hepsiburada.com//casper-s20-32gb-10-1-fhd-tablet-gri-p-HBV00000OELFX
79;Alcatel One Touch Pixi 3 8GB 10.1'' IPS Tablet - Beyaz;Alcatel;598,94 TL;%0;598,94 TL;% 0;598,94 TL;4,2;13 ;https://www.hepsiburada.com//alcatel-one-touch-pixi-3-8gb-10-1-ips-tablet-beyaz-p-HBV000004LCKB
80;"Hometech Alfa 7MRC 32GB 7"" Tablet Gold";Hometech;509,95 TL;%0;509,95 TL;% 0;509,95 TL;2,4;14 ;https://www.hepsiburada.com//hometech-alfa-7mrc-32gb-7-tablet-gold-p-HBV000012WZNU
81;"Technopc Ultrapad UP10.UP102C 10"" IPS Z8350 4GB 64GB Windows 10 Tablet";Technopc;2.785,72 TL;%0;2.785,72 TL;% 0;2.785,72 TL;4,3;3 ;https://www.hepsiburada.com//technopc-ultrapad-up10-up102c-10-ips-z8350-4gb-64gb-windows-10-tablet-p-HBV000011Q2WG
82;"Apple iPad Air 4. Nesil 10.9"" 256 GB WiFi Cellular Tablet - MYH52TU/A";Apple;9.399,00 TL;%17;7.799,89 TL;% 0;7.799,89 TL;4,9;20 ;https://www.hepsiburada.com//apple-ipad-air-4-nesil-10-9-256-gb-wifi-cellular-tablet-myh52tu-a-p-HBV00000XAMIB
